hour,minute,degree
5,0,150,
5,1,144.5,
5,2,139,
5,3,133.5,
5,4,128,
5,5,122.5,
5,6,117,
5,7,111.5,
5,8,106,
5,9,100.5,
5,10,95,
5,11,89.5,
5,12,84,
5,13,78.5,
5,14,73,
5,15,67.5,
5,16,62,
5,17,56.5,
5,18,51,
5,19,45.5,
5,20,40,
5,21,34.5,
5,22,29,
5,23,23.5,
5,24,18,
5,25,12.5,
5,26,7,
5,27,1.5,
5,28,4,
5,29,9.5,
5,30,15,
5,31,20.5,
5,32,26,
5,33,31.5,
5,34,37,
5,35,42.5,
5,36,48,
5,37,53.5,
5,38,59,
5,39,64.5,
5,40,70,
5,41,75.5,
5,42,81,
5,43,86.5,
5,44,92,
5,45,97.5,
5,46,103,
5,47,108.5,
5,48,114,
5,49,119.5,
5,50,125,
5,51,130.5,
5,52,136,
5,53,141.5,
5,54,147,
5,55,152.5,
5,56,158,
5,57,163.5,
5,58,169,
5,59,174.5,
